Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D1,2024-12-01,19:30,Bayern Munich,Hoffenheim,3,0,H,1,0,H,27,12,12,4,8,6,11,2,1,3,0,1,1.14,9.0,12.0,1.15,9.25,14.5,,,,1.15,9.94,16.13,1.11,9.0,15.0,1.13,9.5,17.0,1.17,11.0,17.0,1.15,9.39,15.67,1.22,4.33,,,1.24,4.75,1.21,4.38,-2.5,2.04,1.86,2.03,1.88,2.07,1.92,2.01,1.86,1.11,10.0,19.0,1.11,10.5,21.0,,,,1.13,10.35,19.0,1.08,10.0,19.0,1.1,10.5,22.0,1.15,11.0,23.0,1.12,10.29,18.84,1.2,4.5,,,1.22,5.2,1.19,4.71,-2.5,1.75,2.05,1.82,2.06,2.04,2.14,1.85,2.01
D1,2024-01-13,14:30,Augsburg,Leverkusen,0,1,A,0,0,D,2,25,0,6,11,4,0,12,3,1,0,0,5.25,4.75,1.5,5.75,4.5,1.52,,,,5.74,4.65,1.54,5.5,4.5,1.5,5.75,4.5,1.53,6.0,4.8,1.58,5.67,4.63,1.54,1.53,2.5,1.57,2.5,1.59,2.63,1.54,2.49,1.0,2.02,1.88,2.01,1.89,2.04,1.91,1.99,1.86,5.25,4.75,1.5,6.0,4.6,1.49,,,,5.89,4.8,1.52,5.5,4.5,1.5,5.75,4.75,1.5,6.85,5.21,1.53,5.92,4.77,1.5,1.53,2.5,1.56,2.54,1.57,2.75,1.52,2.55,1.25,1.75,2.05,1.82,2.1,1.94,2.14,1.81,2.04
D1,2024-01-13,14:30,FC Koln,Heidenheim,1,1,D,1,0,H,13,10,6,2,12,11,9,6,2,1,0,0,2.05,3.6,3.4,2.0,3.7,3.4,,,,2.1,3.67,3.51,2.0,3.7,3.25,2.05,3.7,3.4,2.14,3.85,3.58,2.08,3.71,3.45,1.73,2.1,1.78,2.13,1.8,2.21,1.73,2.14,-0.25,1.82,2.08,1.83,2.09,1.84,2.13,1.8,2.06,2.0,3.6,3.75,1.98,3.6,3.6,,,,2.02,3.8,3.7,1.95,3.7,3.4,1.95,3.8,3.6,2.03,3.81,3.8,2.0,3.7,3.66,1.73,2.1,1.78,2.14,1.82,2.16,1.76,2.1,-0.5,2.01,1.92,2.03,1.9,2.03,1.93,2.0,1.88
D1,2024-01-13,14:30,Freiburg,Union Berlin,0,0,D,0,0,D,14,8,4,4,7,9,4,3,0,2,0,0,2.05,3.6,3.5,2.1,3.4,3.4,,,,2.1,3.62,3.54,2.0,3.5,3.4,2.05,3.6,3.5,2.14,3.68,3.66,2.09,3.58,3.52,2.02,1.88,2.02,1.87,2.04,1.9,1.98,1.85,-0.25,1.82,2.08,1.83,2.09,1.84,2.13,1.8,2.05,2.1,3.3,3.75,2.1,3.3,3.5,,,,2.17,3.33,3.74,2.05,3.5,3.3,2.1,3.4,3.6,2.17,3.56,4.05,2.13,3.38,3.64,2.2,1.67,2.23,1.72,2.23,1.86,2.13,1.74,-0.25,1.86,2.07,1.86,2.07,1.89,2.12,1.83,2.03
D1,2024-01-13,14:30,Mainz,Wolfsburg,1,1,D,0,1,A,12,9,4,4,21,16,7,3,3,4,0,0,2.2,3.4,3.25,2.2,3.4,3.2,,,,2.25,3.47,3.33,2.1,3.5,3.2,2.2,3.5,3.25,2.27,3.62,3.41,2.22,3.49,3.3,1.98,1.92,1.94,1.94,1.98,2.0,1.91,1.92,-0.25,1.92,1.98,1.94,1.96,1.95,2.01,1.89,1.94,2.0,3.4,3.8,2.05,3.4,3.7,,,,2.01,3.57,3.99,1.91,3.5,3.7,2.0,3.5,3.8,2.12,3.57,4.0,2.03,3.49,3.82,2.06,1.84,2.05,1.86,2.08,1.94,1.98,1.85,-0.5,2.0,1.93,2.02,1.91,2.09,1.93,2.03,1.85
D1,2024-01-13,14:30,RB Leipzig,Ein Frankfurt,0,1,A,0,1,A,26,5,7,1,7,16,15,4,0,2,0,0,1.45,4.5,7.5,1.44,4.8,6.5,,,,1.45,4.99,6.78,1.36,5.0,7.0,1.4,5.0,7.0,1.48,5.25,7.75,1.44,4.98,6.88,1.5,2.63,1.52,2.63,1.54,2.7,1.51,2.59,-1.25,1.93,1.97,1.95,1.95,1.99,1.98,1.9,1.93,1.4,4.75,7.5,1.41,4.8,7.25,,,,1.42,5.12,7.54,1.36,5.0,7.0,1.4,5.0,7.5,1.44,5.2,8.19,1.41,5.01,7.55,1.57,2.38,1.56,2.54,1.6,2.58,1.55,2.48,-1.25,1.9,2.03,1.9,2.02,1.91,2.06,1.86,1.99
D1,2024-01-13,17:30,Darmstadt,Dortmund,0,3,A,0,1,A,10,17,2,8,10,13,3,4,1,3,0,0,5.25,4.5,1.53,5.25,4.6,1.55,,,,5.5,4.91,1.53,5.0,4.5,1.53,5.5,4.6,1.53,5.7,5.0,1.58,5.44,4.74,1.54,1.44,2.75,1.48,2.75,1.51,2.9,1.45,2.75,1.0,2.0,1.9,2.05,1.86,2.05,1.9,2.0,1.85,4.5,4.33,1.62,4.6,4.4,1.63,,,,4.83,4.44,1.67,4.8,4.5,1.55,4.6,4.6,1.62,5.39,4.7,1.7,4.83,4.45,1.63,1.44,2.75,1.46,2.86,1.51,2.86,1.46,2.75,1.0,1.78,2.03,1.82,2.1,1.99,2.12,1.84,2.03
D1,2024-01-14,14:30,Bochum,Werder Bremen,1,1,D,0,0,D,13,15,4,4,14,14,3,4,6,5,0,0,2.15,3.6,3.1,2.1,3.7,3.2,,,,2.21,3.78,3.16,2.1,3.6,3.1,2.2,3.7,3.1,2.25,3.82,3.3,2.19,3.72,3.15,1.67,2.2,1.66,2.32,1.71,2.36,1.64,2.28,-0.25,1.95,1.95,1.93,1.97,1.96,1.99,1.9,1.94,2.1,3.6,3.25,2.1,3.6,3.25,,,,2.14,3.67,3.46,2.1,3.6,3.1,2.1,3.75,3.25,2.25,3.77,3.46,2.14,3.66,3.3,1.73,2.1,1.7,2.27,1.74,2.34,1.67,2.2,-0.25,1.85,2.08,1.87,2.06,1.91,2.08,1.85,2.0
D1,2024-01-14,16:30,M'gladbach,Stuttgart,3,1,H,2,0,H,8,14,4,2,7,11,0,3,3,3,0,0,3.5,4.0,1.91,3.5,3.9,1.93,,,,3.67,4.14,1.92,3.5,4.0,1.85,3.6,4.0,1.93,3.87,4.2,1.97,3.6,4.05,1.93,1.53,2.5,1.53,2.61,1.54,2.66,1.51,2.58,0.5,1.95,1.95,1.98,1.93,1.99,1.97,1.93,1.93,3.75,3.8,1.91,3.6,3.8,1.93,,,,3.7,4.04,1.96,3.7,3.9,1.83,3.6,4.0,1.93,3.93,4.1,2.01,3.73,3.91,1.93,1.62,2.3,1.65,2.36,1.66,2.45,1.62,2.34,0.5,1.95,1.98,1.95,1.97,2.01,1.98,1.95,1.92
D1,2024-01-20,14:30,Bochum,Stuttgart,1,0,H,0,0,D,6,17,1,4,16,16,1,7,5,3,0,0,3.6,3.8,1.95,3.7,3.75,1.93,,,,3.66,3.9,1.98,3.6,3.9,1.85,3.6,3.8,1.95,3.84,4.0,2.02,3.65,3.87,1.97,1.67,2.2,1.69,2.25,1.71,2.32,1.67,2.24,0.5,1.91,1.99,1.92,1.99,1.93,2.0,1.89,1.96,4.2,4.0,1.75,4.1,3.9,1.8,,,,4.47,4.05,1.79,4.2,3.9,1.73,4.2,3.9,1.8,4.47,4.12,1.99,4.23,3.96,1.8,1.67,2.2,1.7,2.26,1.71,2.3,1.66,2.23,0.75,1.89,2.01,1.91,2.02,1.92,2.12,1.84,2.0
