Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
I2,18/08/2023,19:30,Bari,Palermo,0,0,D,0,0,D,11,16,3,2,13,15,3,5,7,4,2,0,2.75,3.1,2.7,2.6,3.1,2.7,2.7,3.1,2.65,2.83,3.12,2.83,2.3,2.88,2.88,2.75,3,2.63,2.83,3.2,2.83,2.71,3.07,2.69,2.15,1.67,2.25,1.7,2.25,1.73,2.14,1.67,0,1.93,1.93,1.95,1.95,2,1.97,1.91,1.88,2.55,3.1,3,2.5,3.1,2.85,2.5,3.05,2.9,2.66,3.05,3.09,2.3,2.88,2.88,2.45,2.9,3.1,2.66,3.2,3.17,2.49,3.03,2.96,2.25,1.62,2.34,1.65,2.35,1.69,2.22,1.63,0,1.78,2.1,1.81,2.11,1.83,2.17,1.75,2.08
I2,19/08/2023,19:30,Cosenza,Ascoli,3,0,H,1,0,H,22,4,6,0,11,12,7,0,1,4,0,3,2.7,3.1,2.8,2.6,3.1,2.75,2.65,3.05,2.7,2.84,2.96,2.97,2.62,2.75,2.62,2.75,2.88,2.75,2.84,3.1,2.97,2.72,2.96,2.78,2.35,1.57,2.49,1.58,2.49,1.6,2.35,1.57,0,1.88,1.98,1.91,2,1.96,2,1.87,1.93,2.7,2.9,3,2.6,2.95,2.85,2.65,2.9,2.9,2.75,2.98,3.05,2.62,2.75,2.62,2.63,2.88,2.9,2.75,3,3.05,2.64,2.93,2.89,2.4,1.53,2.5,1.58,2.56,1.59,2.38,1.55,0,1.83,2.03,1.85,2.06,1.89,2.07,1.81,2
I2,19/08/2023,19:30,Cremonese,Catanzaro,0,0,D,0,0,D,17,6,3,2,7,18,6,2,3,1,0,0,1.95,3.4,4,1.9,3.5,3.8,1.97,3.4,3.75,1.98,3.37,4.41,1.75,3.25,4,1.9,3.3,4.1,1.98,3.5,4.41,1.93,3.38,3.97,1.98,1.88,2.01,1.88,2.01,1.93,1.92,1.84,-0.5,1.95,1.9,1.98,1.93,1.98,1.98,1.92,1.88,2,3.3,3.8,1.95,3.4,3.7,2.05,3.35,3.6,2.05,3.45,3.98,1.75,3.25,4,2,3.2,3.8,2.06,3.83,4.1,2.02,3.36,3.71,1.95,1.9,1.98,1.91,2.05,1.93,1.92,1.85,-0.5,2.03,1.83,2.05,1.86,2.07,1.87,2,1.81
I2,19/08/2023,19:30,Ternana,Sampdoria,1,2,A,0,1,A,14,13,3,6,11,10,5,4,4,1,0,0,3.4,3.3,2.2,3.2,3.4,2.15,3.25,3.3,2.2,3.3,3.55,2.26,3.3,3.1,2,3.3,3.13,2.2,3.4,3.58,2.29,3.22,3.37,2.18,2.03,1.83,2.04,1.85,2.09,1.88,1.96,1.81,0.25,1.93,1.93,1.95,1.94,2,1.97,1.91,1.88,3,3.2,2.45,2.95,3.2,2.35,2.95,3.2,2.4,3.15,3.27,2.47,3.3,3.1,2,3.13,3,2.38,3.15,3.3,2.47,3.01,3.19,2.37,2.1,1.7,2.17,1.75,2.26,1.77,2.09,1.71,0.25,1.78,2.1,1.82,2.11,1.83,2.13,1.79,2.03
I2,20/08/2023,17:00,Sudtirol,Spezia,3,3,D,1,2,A,10,17,4,5,17,20,2,1,3,3,0,0,3.4,3.2,2.25,3.4,3.1,2.2,3.3,3.1,2.3,3.75,3.07,2.3,3.3,2.8,2.15,3.5,2.9,2.25,3.75,3.2,2.32,3.45,3.03,2.24,2.4,1.53,2.52,1.57,2.52,1.57,2.4,1.54,0.25,1.93,1.93,1.97,1.93,1.97,1.99,1.9,1.89,3.5,3,2.25,3.3,3,2.3,3.35,2.95,2.3,3.62,3.02,2.38,3.3,2.8,2.15,3.5,2.8,2.3,3.62,3.05,2.38,3.4,2.94,2.3,2.5,1.5,2.64,1.53,2.64,1.56,2.49,1.51,0.25,1.88,1.98,1.91,2,1.91,2.02,1.87,1.94
I2,20/08/2023,19:30,Cittadella,Reggiana,1,0,H,1,0,H,13,8,3,1,20,17,6,2,3,3,0,0,2.1,3.4,3.5,2.1,3.2,3.5,2.15,3.2,3.45,2.15,3.28,3.87,2,3,3.5,2.1,3,3.75,2.17,3.4,3.87,2.1,3.18,3.61,2.25,1.62,2.32,1.66,2.32,1.66,2.24,1.62,-0.25,1.8,2.05,1.83,2.09,1.83,2.09,1.79,2.02,1.95,3.25,4.2,1.98,3.2,3.8,2.05,3.2,3.85,2.03,3.28,4.3,2,3,3.5,2.05,3,3.9,2.07,3.3,4.3,2,3.18,3.95,2.2,1.65,2.3,1.67,2.35,1.67,2.24,1.62,-0.5,2,1.85,2.03,1.88,2.08,1.9,1.99,1.81
I2,20/08/2023,19:30,Parma,FeralpiSalo,2,0,H,1,0,H,15,13,4,2,11,11,7,7,1,4,0,0,1.55,3.6,7.5,1.53,3.9,6.25,1.53,3.85,6.5,1.54,4.06,7.38,1.44,3.5,6.5,1.5,3.7,7.5,1.56,4.1,7.5,1.52,3.84,6.67,2.1,1.7,2.14,1.76,2.2,1.76,2.11,1.69,-1,1.95,1.9,1.96,1.94,2,1.94,1.92,1.88,1.57,3.6,7,1.53,3.9,6,1.55,3.85,6.25,1.56,3.97,7.17,1.44,3.5,6.5,1.5,3.7,7.5,1.57,4,7.5,1.53,3.79,6.65,2.08,1.73,2.12,1.78,2.2,1.8,2.08,1.72,-1,2,1.85,2.01,1.9,2.01,1.93,1.95,1.86
I2,20/08/2023,19:30,Venezia,Como,3,0,H,2,0,H,18,12,6,3,17,9,9,3,0,0,0,0,2.1,3.4,3.5,2.05,3.25,3.5,2.1,3.3,3.45,2.1,3.41,3.87,2.1,3,3.2,2.05,3.13,3.7,2.12,3.41,3.87,2.07,3.29,3.57,2.05,1.75,2.06,1.84,2.17,1.84,2.03,1.76,-0.25,1.78,2.1,1.79,2.12,1.83,2.12,1.77,2.04,2.15,3.5,3.25,2.1,3.4,3.3,2.15,3.4,3.2,2.21,3.36,3.6,2.1,3,3.2,2.1,3.13,3.6,2.23,3.5,3.65,2.15,3.32,3.35,1.98,1.88,1.96,1.93,2.02,1.93,1.91,1.86,-0.25,1.88,1.98,1.88,2.02,1.91,2.03,1.84,1.97
I2,25/08/2023,19:30,Sampdoria,Pisa,0,2,A,0,1,A,12,8,2,3,16,16,5,3,1,4,0,0,1.91,3.4,4.33,,,,1.95,3.3,4,1.97,3.35,4.47,,,,1.93,3.1,4.33,2,3.4,4.5,1.93,3.28,4.2,2.3,1.6,2.41,1.62,2.41,1.65,2.31,1.6,-0.5,1.95,1.9,1.97,1.93,2,1.95,1.92,1.88,2.2,3.1,3.6,,,,2.1,3.1,3.7,2.28,3.06,3.79,,,,2.15,2.88,3.75,2.29,3.31,4,2.14,3.09,3.7,2.5,1.5,2.56,1.56,2.58,1.57,2.42,1.54,-0.25,1.9,1.95,1.93,1.98,1.93,2.08,1.83,1.99
I2,26/08/2023,17:00,Venezia,Cosenza,1,1,D,0,1,A,20,4,4,1,6,9,8,2,1,1,0,0,1.75,3.5,4.75,,,,1.8,3.45,4.5,1.78,3.64,5.16,,,,1.75,3.4,4.8,1.81,3.64,5.2,1.77,3.51,4.74,2.1,1.7,2.18,1.74,2.18,1.74,2.12,1.69,-0.75,2.03,1.83,2.03,1.88,2.08,1.89,2,1.81,1.7,3.6,5,,,,1.73,3.65,4.7,1.78,3.7,5.08,,,,1.7,3.6,4.8,1.78,3.8,5.3,1.72,3.66,4.8,1.9,1.95,1.93,1.95,2.02,2.02,1.88,1.89,-0.75,1.98,1.88,2.01,1.89,2.04,1.92,1.93,1.88
