HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Bahia;Atlético-MG;06.12.2023 21:30;4;1;1.50;1.00;38%;62%;14;9;7;5;7;2;0;2;15;18;3;5;2;3;18;14;4;3;16;10;-;-;2;2;297;534;235;466;81;111;45;26
Coritiba;Corinthians;06.12.2023 21:30;0;2;0.55;0.58;43%;57%;12;12;4;6;5;5;3;1;13;17;6;7;0;1;12;14;4;4;17;12;-;-;1;0;522;680;456;617;93;104;63;45
Cruzeiro;Palmeiras;06.12.2023 21:30;1;1;1.26;1.47;51%;49%;14;8;6;5;7;1;1;2;17;9;3;4;0;0;23;21;4;5;9;19;-;-;1;1;424;381;356;298;116;60;38;26
Cuiabá;Athletico-PR;06.12.2023 21:30;3;0;2.74;0.85;47%;53%;12;15;6;3;5;7;1;5;14;13;5;9;3;2;10;13;3;3;10;14;1;0;4;3;402;506;343;436;76;102;28;62
Fluminense;Grêmio;06.12.2023 21:30;2;3;2.10;2.10;62%;38%;20;13;7;5;11;6;2;2;5;10;7;3;0;0;15;15;2;5;11;11;-;-;3;3;653;295;599;238;146;68;76;27
Internacional;Botafogo;06.12.2023 21:30;3;1;1.48;0.45;53%;47%;7;9;3;5;3;2;1;2;14;13;1;5;2;3;9;16;4;0;10;10;-;-;1;2;556;488;492;417;104;120;21;31
Santos;Fortaleza;06.12.2023 21:30;1;2;0.97;0.94;57%;43%;14;14;6;6;4;5;4;3;10;14;10;6;4;2;23;29;5;5;15;9;-;-;2;3;380;321;298;231;112;81;72;32
São Paulo;Flamengo;06.12.2023 21:30;1;0;0.52;0.44;47%;53%;9;8;3;2;4;5;2;1;16;15;4;9;2;0;18;16;2;2;13;16;-;-;0;3;422;545;367;479;73;112;26;49
Vasco;Red Bull Bragantino;06.12.2023 21:30;2;1;1.83;0.88;46%;54%;11;10;5;2;4;5;2;3;15;9;2;3;0;1;22;21;1;3;8;14;0;1;3;1;329;396;256;333;88;108;44;35
Goiás;América-MG;06.12.2023 19:00;1;0;0.91;0.91;46%;54%;12;10;3;3;5;4;4;3;15;15;8;7;3;2;17;18;3;2;12;13;-;-;2;2;390;531;303;457;66;128;44;62
América-MG;Bahia;03.12.2023 18:30;3;2;1.06;3.30;46%;54%;10;27;3;5;4;15;3;7;4;15;2;10;1;3;21;21;3;0;14;4;1;0;2;0;370;483;301;398;81;125;32;81
Athletico-PR;Santos;03.12.2023 18:30;3;0;1.05;0.67;49%;51%;11;12;6;3;4;7;1;2;15;19;6;6;1;0;20;16;3;3;18;15;-;-;5;4;386;357;312;289;90;87;33;47
