HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Atlético-MG;Fortaleza;23.06.2024 18:30;1;1;-;-;59%;41%;17;13;8;3;5;8;4;2;20;17;3;4;1;0;23;24;2;7;15;17;0;0;3;2;548;301;465;209;146;90;58;19
Palmeiras;Juventude;23.06.2024 18:30;3;1;-;-;56%;44%;28;17;10;9;14;6;4;2;8;18;10;4;3;0;30;31;8;7;14;7;0;0;2;3;476;347;391;264;143;103;86;40
Red Bull Bragantino;Vitória;23.06.2024 18:30;2;1;-;-;56%;44%;14;9;7;6;4;3;3;0;18;15;6;7;2;4;31;27;5;5;10;11;0;0;3;2;529;352;455;272;151;79;71;46
Athletico-PR;Corinthians;23.06.2024 16:00;1;1;-;-;47%;53%;18;16;7;6;8;9;3;1;13;11;11;2;1;1;19;12;5;6;19;12;0;0;2;1;400;361;322;302;105;71;58;30
Bahia;Cruzeiro;23.06.2024 16:00;4;1;-;-;59%;41%;14;6;6;1;4;3;4;2;19;10;3;1;4;4;26;15;0;2;7;13;0;1;0;3;661;393;588;326;169;92;71;26
Fluminense;Flamengo;23.06.2024 16:00;0;1;-;-;49%;51%;2;14;0;5;2;9;0;0;17;0;2;6;5;0;16;21;4;0;14;13;1;0;4;3;453;417;383;335;74;118;24;80
Vasco;São Paulo;22.06.2024 21:30;4;1;-;-;40%;60%;12;11;7;3;4;5;1;3;20;12;2;8;0;1;23;21;2;3;13;14;0;0;3;1;370;524;297;451;118;124;39;76
Cuiabá;Atlético-GO;22.06.2024 18:30;0;0;-;-;51%;49%;10;17;3;8;4;5;3;4;15;10;5;4;0;2;30;16;8;3;9;12;0;0;3;1;463;407;379;330;108;115;55;38
Grêmio;Internacional;22.06.2024 17:30;0;1;-;-;52%;48%;6;16;2;3;3;9;1;4;5;10;5;4;1;0;26;10;2;2;12;11;0;0;3;2;471;378;381;299;139;88;28;45
Criciúma;Botafogo;22.06.2024 16:00;2;1;-;-;45%;55%;15;11;4;2;6;6;5;3;15;15;4;7;2;1;19;19;1;2;15;14;0;0;4;3;339;536;262;442;80;140;52;54
Palmeiras;Red Bull Bragantino;20.06.2024 21:30;2;1;-;-;45%;55%;22;13;7;3;11;8;4;2;11;14;10;3;5;2;22;20;2;5;10;9;0;0;0;2;350;477;263;394;91;98;62;25
Flamengo;Bahia;20.06.2024 20:00;2;1;-;-;42%;58%;13;8;3;3;7;5;3;0;12;9;6;2;1;3;17;10;2;1;8;10;0;0;1;1;402;715;336;662;92;103;53;43
Vitória;Atlético-MG;20.06.2024 18:30;4;2;-;-;44%;56%;9;19;5;7;3;7;1;5;15;14;2;4;0;1;15;22;5;1;14;13;0;0;2;2;323;547;253;469;75;146;22;55
Cruzeiro;Fluminense;19.06.2024 21:30;2;0;-;-;40%;60%;16;9;5;4;7;5;4;0;9;20;6;5;2;0;11;28;4;3;16;10;0;0;3;2;317;579;243;518;93;122;46;64
Internacional;Corinthians;19.06.2024 21:30;1;0;-;-;49%;51%;10;13;5;3;3;6;2;4;16;20;3;7;4;1;20;27;3;4;17;13;0;0;1;2;365;399;295;318;96;134;31;59
Fortaleza;Grêmio;19.06.2024 20:00;1;0;-;-;53%;47%;13;8;4;2;6;5;3;1;11;19;8;3;1;3;11;25;2;3;16;6;0;1;3;4;544;502;481;424;119;57;48;48
Juventude;Vasco;19.06.2024 20:00;2;0;-;-;54%;46%;13;5;5;2;4;2;4;1;8;2;5;4;1;5;24;19;2;3;14;18;0;1;2;3;471;390;395;301;85;140;33;34
São Paulo;Cuiabá;19.06.2024 20:00;0;1;-;-;61%;39%;13;10;4;3;8;6;1;1;17;9;4;6;3;0;20;19;2;4;5;16;0;0;2;3;652;345;581;279;162;83;67;37
Atlético-GO;Criciúma;19.06.2024 19:00;1;2;-;-;50%;50%;11;17;1;6;9;5;1;6;10;12;5;1;1;4;19;25;4;0;10;10;1;0;1;1;432;459;343;367;124;110;53;44
Botafogo;Athletico-PR;19.06.2024 19:00;1;1;-;-;60%;40%;9;14;2;7;7;5;0;2;15;16;5;9;1;2;27;15;6;1;13;14;0;0;0;5;516;316;443;257;141;95;53;58
