HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
América-MG;Atlético-GO;13.11.2022 16:00;1;1;-;-;60%;40%;36;4;9;3;13;1;14;0;15;14;17;5;0;3;21;16;2;8;14;12;0;1;3;2;422;318;347;233;60;39;45;16
Athletico-PR;Botafogo;13.11.2022 16:00;3;0;-;-;41%;59%;25;9;10;4;9;3;6;2;13;21;6;3;2;0;13;24;4;7;19;13;-;-;1;1;272;416;204;347;34;21;10;6
Ceará;Juventude;13.11.2022 16:00;4;1;-;-;62%;38%;23;9;10;4;9;5;4;0;15;16;8;3;1;0;19;16;3;6;16;16;-;-;4;4;466;297;391;228;34;22;14;5
Corinthians;Atlético-MG;13.11.2022 16:00;0;1;-;-;58%;42%;17;17;4;7;9;7;4;3;19;10;5;4;1;0;14;18;6;4;11;19;-;-;3;6;493;350;417;289;37;35;9;10
Cuiabá;Coritiba;13.11.2022 16:00;2;1;-;-;57%;43%;17;4;8;2;7;1;2;1;9;11;8;1;2;2;17;19;1;6;9;8;0;1;1;5;503;384;445;314;28;27;15;10
Goiás;São Paulo;13.11.2022 16:00;0;4;-;-;36%;64%;6;13;2;7;3;3;1;3;14;13;3;4;1;0;15;17;3;2;12;14;-;-;2;1;331;589;265;532;27;27;8;12
Internacional;Palmeiras;13.11.2022 16:00;3;0;-;-;48%;52%;15;11;8;2;5;5;2;4;19;14;6;5;1;2;21;21;2;5;13;17;-;-;2;3;287;304;222;250;31;15;13;9
Red Bull Bragantino;Fluminense;13.11.2022 16:00;0;1;-;-;41%;59%;13;8;4;4;6;4;3;0;15;21;4;9;5;0;19;20;3;4;16;15;-;-;3;2;320;466;248;384;17;25;14;20
Santos;Fortaleza;13.11.2022 16:00;0;2;-;-;48%;52%;14;13;3;6;7;5;4;2;16;17;5;7;0;2;22;22;4;3;17;14;-;-;1;3;360;394;281;312;30;30;9;10
Flamengo;Avaí;12.11.2022 16:00;1;2;-;-;65%;35%;17;15;4;8;9;5;4;2;11;13;10;3;1;0;12;10;6;3;14;11;-;-;0;1;577;311;529;255;127;65;79;20
Atlético-MG;Cuiabá;10.11.2022 20:00;3;0;-;-;65%;35%;14;6;7;1;3;3;4;2;11;13;3;5;1;1;10;18;1;4;12;11;-;-;1;4;635;326;572;255;105;88;32;33
Botafogo;Santos;10.11.2022 20:00;3;0;-;-;45%;55%;14;4;7;0;3;4;4;0;18;21;3;4;6;1;17;16;0;4;15;17;0;1;2;4;389;466;325;395;93;97;41;40
Atlético-GO;Athletico-PR;09.11.2022 21:30;1;1;-;-;63%;37%;26;12;7;4;11;6;8;2;12;9;7;4;1;0;20;25;3;6;8;12;-;-;1;0;498;281;404;205;94;103;55;37
Juventude;Flamengo;09.11.2022 21:30;2;2;-;-;36%;64%;11;10;4;3;6;6;1;1;14;18;2;4;0;0;20;16;1;2;17;14;-;-;7;3;294;512;221;439;74;108;32;60
Palmeiras;América-MG;09.11.2022 21:30;2;1;-;-;57%;43%;26;6;9;2;11;4;6;0;13;12;10;3;1;2;21;20;1;7;11;11;-;-;4;2;401;286;324;206;118;73;60;27
Fortaleza;Red Bull Bragantino;09.11.2022 20:30;6;0;-;-;55%;45%;25;4;13;1;3;3;9;0;10;18;7;0;1;0;20;13;1;7;17;12;-;-;1;4;435;350;378;283;115;69;40;16
Avaí;Ceará;09.11.2022 19:00;2;0;-;-;41%;59%;14;15;3;3;7;9;4;3;22;17;6;6;2;1;19;9;3;1;17;21;-;-;4;5;300;429;238;363;82;94;39;45
Coritiba;Corinthians;09.11.2022 19:00;2;2;-;-;51%;49%;13;9;5;3;6;3;2;3;8;16;5;7;1;1;18;19;1;3;15;8;0;1;4;5;385;375;319;295;112;86;69;25
Fluminense;Goiás;09.11.2022 19:00;3;0;-;-;76%;24%;23;9;9;1;6;6;8;2;13;15;11;3;6;3;16;15;1;6;10;11;0;2;3;3;639;192;580;140;130;61;89;24
São Paulo;Internacional;08.11.2022 21:30;0;1;-;-;58%;42%;10;8;2;3;3;4;5;1;14;13;7;2;2;2;19;11;2;2;11;12;-;-;4;5;512;379;459;309;141;80;62;24
Atlético-MG;Botafogo;07.11.2022 20:00;0;2;-;-;66%;34%;11;8;1;2;8;5;2;1;21;13;6;2;5;2;21;23;0;1;10;19;-;-;2;5;528;270;446;185;142;78;57;26
Cuiabá;Palmeiras;06.11.2022 18:30;1;1;-;-;34%;66%;12;28;4;12;5;8;3;8;11;15;4;9;2;3;18;21;11;3;13;8;-;-;2;0;254;493;163;402;102;127;32;85
Coritiba;Flamengo;06.11.2022 16:00;1;0;-;-;33%;67%;9;13;4;1;4;7;1;5;13;13;5;8;0;3;17;28;1;3;13;11;-;-;5;3;244;515;172;452;62;128;31;59
Fortaleza;Atlético-GO;06.11.2022 16:00;1;1;-;-;57%;43%;18;13;6;6;7;6;5;1;13;11;11;3;2;1;26;14;5;5;9;12;0;1;2;6;415;333;343;250;111;85;52;29
Internacional;Athletico-PR;05.11.2022 21:00;2;0;-;-;55%;45%;11;14;5;1;4;11;2;2;20;6;10;5;1;1;17;19;1;3;5;20;0;1;0;1;441;356;351;276;110;98;43;50
Corinthians;Ceará;05.11.2022 20:30;1;0;-;-;63%;37%;15;12;2;4;7;4;6;4;12;13;9;11;4;2;20;18;4;1;10;12;-;-;4;4;563;319;483;249;122;100;56;53
Goiás;Juventude;05.11.2022 19:00;1;0;-;-;52%;48%;8;14;1;2;3;8;4;4;21;15;5;8;1;0;8;14;2;0;15;22;-;-;4;6;307;283;255;221;93;62;31;37
Red Bull Bragantino;América-MG;05.11.2022 19:00;1;4;-;-;59%;41%;10;15;4;8;3;4;3;3;9;18;5;3;3;1;16;19;4;3;17;9;-;-;6;2;447;321;362;220;122;77;33;31
Fluminense;São Paulo;05.11.2022 16:30;3;1;-;-;65%;35%;18;8;8;4;4;2;6;2;18;16;8;3;1;2;22;15;3;5;16;16;0;1;1;2;632;332;560;265;131;61;61;20
Santos;Avaí;05.11.2022 16:30;1;1;-;-;56%;44%;9;15;5;5;3;6;1;4;12;15;9;4;1;0;24;28;4;4;14;13;-;-;3;0;478;375;412;307;113;82;57;35
Flamengo;Corinthians;02.11.2022 21:30;1;2;-;-;52%;48%;15;8;3;6;8;1;4;1;21;13;6;0;1;1;21;24;4;2;9;14;-;-;0;1;542;518;467;440;138;95;62;31
Palmeiras;Fortaleza;02.11.2022 21:30;4;0;-;-;55%;45%;18;8;9;3;5;3;4;2;27;16;4;2;3;2;12;16;3;5;11;16;-;-;3;1;521;416;442;334;105;93;58;30
Atlético-GO;Santos;02.11.2022 19:00;2;3;-;-;54%;46%;22;9;6;6;10;0;6;3;10;19;4;7;4;0;17;16;3;4;15;10;-;-;3;2;467;392;400;320;100;70;64;35
Avaí;Red Bull Bragantino;02.11.2022 19:00;1;2;-;-;49%;51%;8;12;1;6;6;6;1;0;16;17;2;7;0;0;20;24;4;0;17;17;-;-;2;1;419;432;314;337;99;118;28;38
Juventude;Coritiba;02.11.2022 19:00;0;1;-;-;39%;61%;10;20;2;7;5;12;3;1;21;10;4;4;0;3;21;31;6;2;11;18;-;-;3;5;278;438;184;358;86;125;28;75
América-MG;Internacional;02.11.2022 16:00;1;0;-;-;53%;47%;17;13;6;3;6;6;5;4;14;10;7;8;1;2;16;13;3;5;7;11;-;-;-;-;406;361;328;267;108;79;61;46
Athletico-PR;Goiás;02.11.2022 16:00;3;2;-;-;45%;55%;16;12;5;3;10;7;1;2;9;10;5;6;0;0;30;23;1;2;6;11;-;-;2;1;332;393;261;314;94;92;41;31
São Paulo;Atlético-MG;01.11.2022 21:30;2;2;-;-;45%;55%;12;9;4;3;2;2;6;4;18;11;7;6;2;2;23;12;1;2;10;16;-;-;3;5;344;418;265;332;89;101;28;42
Botafogo;Cuiabá;01.11.2022 19:00;0;2;-;-;67%;33%;23;13;5;5;11;7;7;1;20;4;11;3;0;1;22;16;3;5;4;18;-;-;1;1;558;277;486;199;133;71;72;34
Ceará;Fluminense;31.10.2022 20:00;0;1;-;-;29%;71%;14;17;3;5;6;10;5;2;10;12;4;7;2;2;13;21;4;3;11;8;1;0;3;2;283;690;227;635;71;103;44;55
Goiás;Corinthians;29.10.2022 19:30;0;0;-;-;29%;71%;12;21;3;2;6;10;3;9;12;13;2;4;2;1;18;24;2;3;11;11;-;-;2;3;237;609;160;411;97;142;72;105
Cuiabá;Avaí;27.10.2022 20:00;1;0;-;-;48%;52%;11;13;3;7;5;5;3;1;12;15;10;6;0;1;16;19;7;2;15;11;-;-;1;1;420;459;334;387;71;82;48;32
Atlético-MG;Juventude;27.10.2022 19:30;1;0;-;-;61%;39%;14;9;3;4;8;4;3;1;15;16;3;4;3;3;9;19;4;2;13;13;-;-;2;1;555;355;494;303;139;53;65;23
Fortaleza;Coritiba;27.10.2022 19:00;3;1;-;-;51%;49%;14;16;7;7;6;5;1;4;12;15;3;3;1;1;16;21;6;4;15;12;0;1;1;1;441;412;349;314;107;121;57;43
São Paulo;Atlético-GO;27.10.2022 19:00;2;1;-;-;54%;46%;13;19;2;8;6;9;5;2;12;12;4;7;2;0;15;19;7;0;10;12;0;1;2;4;461;390;391;333;103;96;52;47
Corinthians;Fluminense;26.10.2022 21:45;0;2;-;-;48%;52%;13;15;5;6;4;7;4;2;10;17;6;3;1;1;29;19;4;5;16;9;-;-;2;3;47;479;354;412;89;104;48;39
Goiás;América-MG;26.10.2022 21:45;2;2;-;-;46%;54%;12;16;5;5;4;8;3;3;23;15;3;8;1;0;27;25;3;3;14;23;-;-;2;3;342;405;242;326;100;130;37;52
Internacional;Ceará;26.10.2022 21:45;2;1;-;-;62%;38%;21;13;6;3;8;6;7;4;14;8;5;5;2;0;23;21;2;4;8;15;-;-;0;2;525;317;460;249;150;75;65;39
Botafogo;Red Bull Bragantino;26.10.2022 19:30;2;1;-;-;42%;58%;18;5;8;1;4;3;6;1;14;13;5;4;1;2;18;23;0;6;12;12;-;-;1;4;324;447;260;360;87;103;45;33
Athletico-PR;Palmeiras;25.10.2022 21:45;1;3;-;-;29%;71%;11;17;1;6;5;7;5;4;13;7;0;9;0;2;18;26;3;0;7;10;1;0;3;5;235;575;163;508;85;124;26;67
Flamengo;Santos;25.10.2022 21:45;3;2;-;-;55%;45%;19;8;12;4;4;3;3;1;18;15;7;2;1;2;12;15;2;9;14;16;-;-;3;4;523;438;452;363;123;94;44;24
Fortaleza;Atlético-MG;24.10.2022 20:00;0;0;-;-;31%;69%;4;9;0;3;3;4;1;2;8;22;2;11;3;0;20;21;3;0;22;10;-;-;4;1;237;517;142;439;77;129;43;86
